"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Вход пользователя","1","0","Вход с корректными учётными данными","0"
"0","","0","Вход пользователя","1","0","Вход с неверным паролем","0"
"0","","0","Создание пользователя","3","0","Регистрация с пропущенными обязательными полями","0"
"0","","0","Создание заказа","1","0","Создание заказа с авторизацией и валидными ингредиентами","0"
"0","","1","Создание заказа","0","0","Создание заказа без авторизации","0"
"0","","0","Создание пользователя","1","0","Регистрация нового уникального пользователя","0"
"0","","0","Создание заказа","1","0","Создание заказа с пустым списком ингредиентов","0"
"0","","0","Вход пользователя","1","0","Вход с несуществующим email","0"
"0","","0","Создание пользователя","1","0","Повторная регистрация существующего пользователя","0"
"0","","0","Создание заказа","1","0","Создание заказа с невалидным хешем ингредиента","0"
