"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Попытка регистрации уже существующего пользователя","tests","2026-05-01","passed","2026-05-01","","test_create_user","",""
"","249","Вход не удаётся для неизвестного пользователя","tests","2026-05-01","passed","2026-05-01","","test_login_user","",""
"","347","Вход не удаётся с неправильным паролем","tests","2026-05-01","passed","2026-05-01","","test_login_user","",""
"","265","Создание заказа не проходит без токена авторизации","tests","2026-05-01","failed","2026-05-01","","test_create_order","",""
"","351","Успешный вход под существующим пользователем","tests","2026-05-01","passed","2026-05-01","","test_login_user","",""
"","1224","Успешная регистрация уникального пользователя","tests","2026-05-01","passed","2026-05-01","","test_create_user","",""
"","257","Регистрация не проходит при отсутствии обязательного поля","tests","2026-05-01","passed","2026-05-01","","test_create_user","",""
"","228","Регистрация не проходит при отсутствии обязательного поля","tests","2026-05-01","passed","2026-05-01","","test_create_user","",""
"","257","Заказ не создаётся, если не переданы ингредиенты","tests","2026-05-01","passed","2026-05-01","","test_create_order","",""
"","3633","Успешное создание заказа авторизованным пользователем","tests","2026-05-01","passed","2026-05-01","","test_create_order","",""
"","271","Заказ не создаётся с несуществующим ID ингредиента","tests","2026-05-01","passed","2026-05-01","","test_create_order","",""
"","231","Регистрация не проходит при отсутствии обязательного поля","tests","2026-05-01","passed","2026-05-01","","test_create_user","",""
